c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1199.79	286.896	9213.33	892.34	742.078	8904.4	738.65	976.262	738.472	9299.84
1199.84	286.846	9396.67	909.971	734.134	9130.68	731.533	930.996	731.387	9511.76
1199.89	286.796	9673.33	930.814	726.138	9307.53	724.189	890.828	724.069	9683.22
1199.94	286.746	10000	955.216	718.038	9434.11	716.576	854.995	716.478	9813.02
1199.99	286.696	9993.33	983.936	710.053	9510.42	708.966	823.387	708.887	9901.21
1200.04	286.646	9980	1017.53	702.169	9534.86	701.365	795.434	701.3	9946.15
1200.09	286.596	10006.7	1056.3	694.33	9499.09	693.738	770.688	693.685	9939.4
1200.14	286.546	10010	1100.76	686.536	9410.09	686.104	748.731	686.061	9887.98
1200.19	286.496	9596.67	1151.78	679.119	9271.06	678.804	729.505	678.769	9795.19
1200.24	286.446	9783.33	1209.4	671.573	9083.94	671.346	712.202	671.319	9663.19
1200.29	286.396	9520	1274.55	664.264	8845.35	664.1	696.836	664.078	9488.79
1200.34	286.346	9200	1347.82	657.227	8567.51	657.11	683.23	657.092	9284.53
1200.39	286.296	9063.33	1429.64	650.311	8254.91	650.228	670.943	650.213	9055.18
1200.44	286.246	8693.33	1520.74	643.701	7912.18	643.643	660.011	643.631	8805.75
1200.49	286.196	8780	1621.3	637.023	7542.15	636.982	649.831	636.973	8539.39
1200.54	286.146	8200	1732.36	630.819	7154.88	630.791	640.846	630.784	8266.56
1200.59	286.096	8053.33	1854.05	624.735	6755.26	624.716	632.527	624.71	7992.45
1200.64	286.046	7673.33	1986.97	618.959	6348.44	618.946	625.001	618.942	7722.55
1200.69	285.996	7360	2131.44	613.438	5939.79	613.429	618.084	613.425	7462.48
1200.74	285.946	7020	2287.74	608.191	5534.34	608.185	611.759	608.183	7217.48
1200.79	285.896	6943.33	2455.83	603.004	5135.69	603.001	605.72	602.998	6991.25
1200.84	285.846	6730	2635.89	597.989	4748.26	597.986	600.054	597.984	6788.24
1200.89	285.796	6603.33	2827.75	593.073	4375.65	593.071	594.629	593.07	6611.9
1200.94	285.746	6426.67	3031.24	588.298	4019.04	588.297	589.47	588.296	6463.16
1200.99	285.696	6316.67	3246.24	583.61	3680.1	583.609	584.484	583.608	6343.61
1201.04	285.646	6183.33	3471.92	579.027	3362.07	579.027	579.679	579.026	6255.62
1201.09	285.596	6300	3707.11	574.345	3065.25	574.345	574.826	574.344	6198.5
1201.14	285.546	6283.33	3950.9	569.673	2788.73	569.673	570.028	569.672	6170.31
1201.19	285.496	6340	4201.95	564.951	2532.52	564.951	565.21	564.95	6169.78
1201.24	285.446	6363.33	4458.82	560.206	2298.84	560.206	560.396	560.205	6197.65
1201.29	285.396	6163.33	4719.98	555.62	2085.83	555.62	555.757	555.62	6250.34
1201.34	285.346	6320	4983.21	550.903	1891.53	550.903	551.003	550.903	6323.94
1201.39	285.296	6560	5246.27	545.986	1715.05	545.986	546.057	545.986	6415.41
1201.44	285.246	6450	5507.14	541.154	1558.09	541.154	541.205	541.154	6524.13
1201.49	285.196	6473.33	5763.2	536.3	1417.27	536.3	536.336	536.3	6644.21
1201.54	285.146	6856.67	6011.53	531.127	1290.83	531.127	531.153	531.127	6771.26
1201.59	285.096	7056.67	6249.55	525.787	1177.84	525.787	525.805	525.787	6901.62
1201.64	285.046	7166.67	6474.59	520.353	1079.23	520.353	520.366	520.353	7033.49
1201.69	284.996	7206.67	6683.97	514.881	991.747	514.881	514.89	514.881	7160.84
1201.74	284.946	7416.67	6874.85	509.233	914.229	509.233	509.239	509.233	7279.85
1201.79	284.896	7186.67	7045.06	503.769	846.267	503.769	503.773	503.769	7387.56
